iter	Passed	Remaining
457	805	953
458	806	950
459	807	947
460	807	944
461	808	941
462	809	938
463	810	936
464	811	933
465	812	930
466	813	927
467	813	925
468	814	922
469	815	919
470	815	916
471	816	913
472	817	910
473	817	907
474	818	904
475	819	901
476	819	898
477	820	896
478	821	893
479	821	890
480	822	887
481	823	884
482	824	882
483	825	880
484	826	878
485	827	875
486	828	872
487	829	869
488	829	867
489	830	864
490	831	861
491	831	858
492	832	856
493	833	853
494	834	851
495	834	848
496	835	845
497	836	842
498	836	840
499	837	837
500	838	834
501	838	832
502	840	830
503	841	828
504	842	825
505	843	823
506	843	820
507	844	817
508	845	815
509	845	812
510	846	810
511	847	807
512	847	804
513	848	802
514	849	799
515	849	797
516	850	794
517	851	792
518	851	789
519	852	786
520	853	784
521	853	781
522	854	779
523	856	777
524	856	775
525	857	772
526	858	770
527	859	767
528	859	765
529	860	763
530	861	760
531	861	758
532	862	755
533	863	753
534	863	750
535	864	748
536	865	745
537	865	743
538	866	740
539	866	738
540	867	736
541	868	733
542	870	732
543	871	730
544	872	728
545	874	726
546	875	724
547	877	723
548	878	721
549	880	720
550	880	717
551	881	715
552	882	713
553	884	711
554	885	710
555	886	708
556	887	705
557	888	703
558	889	701
559	890	699
560	890	697
561	891	694
562	892	692
563	892	690
564	893	687
565	894	685
566	894	683
567	895	681
568	896	679
569	897	676
570	898	674
571	899	673
572	900	671
573	901	669
574	902	666
575	903	664
576	904	662
577	904	660
578	905	658
579	906	656
580	907	654
581	908	652
582	908	650
583	909	647
584	910	645
585	911	643
586	911	641
587	912	639
588	913	637
589	915	635
590	915	633
591	916	631
592	917	629
593	917	627
594	918	625
595	919	623
596	920	621
597	920	619
598	921	617
599	922	614
600	923	612
601	923	610
602	924	608
603	925	606
604	925	604
605	926	602
606	927	600
607	928	598
608	929	596
609	930	594
610	931	592
611	931	590
612	932	588
613	933	586
614	934	584
615	934	582
616	935	580
617	935	578
618	936	576
619	937	574
620	938	572
621	938	570
622	939	568
623	940	566
624	940	564
625	941	562
626	942	560
627	944	559
628	945	557
629	945	555
630	946	553
631	947	551
632	947	549
633	948	547
634	949	545
635	950	543
636	950	541
637	951	539
638	952	537
639	952	535
640	953	534
641	954	532
642	955	530
643	956	528
644	957	527
645	959	525
646	959	523
647	960	521
648	961	519
649	961	517
650	962	516
651	963	514
652	963	512
653	964	510
654	965	508
655	966	506
656	966	504
657	967	502
658	968	500
659	968	499
660	969	497
661	970	495
662	970	493
663	971	491
664	972	490
665	974	488
666	976	487
667	978	486
668	979	484
669	981	483
670	982	481
671	984	480
672	985	479
673	988	478
674	989	476
675	990	474
676	991	473
677	992	471
678	993	469
679	994	467
680	995	466
681	995	464
682	996	462
683	997	460
684	998	459
685	998	457
686	999	455
687	1000	453
688	1001	451
689	1002	450
690	1003	448
691	1004	447
692	1005	445
693	1006	443
694	1007	441
695	1007	440
696	1008	438
697	1009	436
698	1009	434
699	1010	433
700	1011	431
701	1011	429
702	1012	427
703	1013	425
704	1013	424
705	1014	422
706	1015	420
707	1015	418
708	1017	417
709	1018	416
710	1019	414
711	1020	412
712	1021	411
713	1021	409
714	1022	407
715	1023	405
716	1023	404
717	1024	402
718	1025	400
719	1025	398
720	1026	397
721	1027	395
722	1027	393
723	1028	392
724	1029	390
725	1029	388
726	1030	386
727	1031	385
728	1032	383
729	1033	382
730	1034	380
731	1035	378
732	1035	377
733	1036	375
734	1037	373
735	1037	372
736	1038	370
737	1039	368
738	1039	367
739	1040	365
740	1041	363
741	1041	362
742	1042	360
743	1043	359
744	1044	357
745	1044	355
746	1045	354
747	1047	352
748	1047	351
749	1048	349
750	1049	348
751	1050	346
752	1051	344
753	1051	343
754	1052	341
755	1053	340
756	1054	338
757	1055	336
758	1055	335
759	1056	333
760	1057	332
761	1058	330
762	1058	328
763	1059	327
764	1060	325
765	1061	324
766	1062	322
767	1063	321
768	1064	319
769	1065	318
770	1066	316
771	1066	315
772	1068	313
773	1068	312
774	1069	310
775	1070	309
776	1071	307
777	1071	305
778	1072	304
779	1073	302
780	1074	301
781	1075	299
782	1076	298
783	1076	296
784	1077	295
785	1078	293
786	1078	292
787	1079	290
788	1080	288
789	1080	287
790	1081	285
791	1082	284
792	1082	282
793	1083	281
794	1084	279
795	1085	278
796	1085	276
797	1086	275
798	1087	273
799	1087	271
800	1088	270
801	1089	269
802	1091	267
803	1092	266
804	1093	264
805	1093	263
806	1094	261
807	1095	260
808	1096	258
809	1096	257
810	1097	255
811	1098	254
812	1098	252
813	1099	251
814	1100	249
815	1100	248
816	1101	246
817	1102	245
818	1102	243
819	1103	242
820	1104	240
821	1105	239
822	1106	237
823	1107	236
824	1107	235
825	1108	233
826	1109	232
827	1110	230
828	1110	229
829	1111	227
830	1112	226
831	1112	224
832	1113	223
833	1114	221
834	1114	220
835	1115	218
836	1116	217
837	1116	215
838	1117	214
839	1118	212
840	1118	211
841	1120	210
842	1120	208
843	1121	207
844	1122	205
845	1123	204
846	1123	203
847	1124	201
848	1125	200
849	1126	198
850	1126	197
851	1127	195
852	1128	194
853	1128	192
854	1129	191
855	1129	190
856	1130	188
857	1131	187
858	1131	185
859	1132	184
860	1133	182
861	1134	181
862	1135	180
863	1136	178
864	1137	177
865	1137	176
866	1138	174
867	1139	173
868	1139	171
869	1140	170
870	1141	169
871	1141	167
872	1142	166
873	1143	164
874	1143	163
875	1144	161
876	1145	160
877	1145	159
878	1146	157
879	1146	156
880	1147	155
881	1148	153
882	1149	152
883	1150	150
884	1151	149
885	1151	148
886	1152	146
887	1153	145
888	1153	144
889	1154	142
890	1155	141
891	1155	139
892	1156	138
893	1157	137
894	1157	135
895	1158	134
896	1159	133
897	1159	131
898	1160	130
899	1160	128
900	1161	127
901	1162	126
902	1162	124
903	1164	123
904	1164	122
905	1165	120
906	1166	119
907	1166	118
908	1167	116
909	1168	115
910	1168	114
911	1169	112
912	1170	111
913	1170	110
914	1171	108
915	1172	107
916	1172	106
917	1173	104
918	1174	103
919	1174	102
920	1175	100
921	1175	99
922	1176	98
923	1177	96
924	1177	95
925	1179	94
926	1179	92
927	1180	91
928	1181	90
929	1181	88
930	1182	87
931	1183	86
932	1183	85
933	1184	83
934	1185	82
935	1186	81
936	1186	79
937	1187	78
938	1187	77
939	1188	75
940	1189	74
941	1189	73
942	1190	71
943	1191	70
944	1191	69
945	1192	68
946	1193	66
947	1194	65
948	1195	64
949	1195	62
950	1196	61
951	1197	60
952	1198	59
953	1198	57
954	1199	56
955	1200	55
956	1200	53
957	1201	52
958	1202	51
959	1202	50
960	1203	48
961	1204	47
962	1204	46
963	1205	45
964	1206	43
965	1206	42
966	1207	41
967	1209	39
968	1209	38
969	1210	37
970	1211	36
971	1211	34
972	1212	33
973	1213	32
974	1213	31
975	1214	29
976	1215	28
977	1215	27
978	1216	26
979	1217	24
980	1218	23
981	1218	22
982	1219	21
983	1219	19
984	1220	18
985	1221	17
986	1221	16
987	1223	14
988	1223	13
989	1224	12
990	1225	11
991	1225	9
992	1226	8
993	1227	7
994	1227	6
995	1228	4
996	1229	3
997	1229	2
998	1230	1
999	1231	0
